review_body,stars_number,course_stage,user_name,last_update
This is the best course I've taken on edx. It was hard to do everything while working fulltime  but it was worth it because I learned so much afterwards and I'm applying it right now in machine learning. I liked that it was hard and they didn't water it down just because it's a MOOC. I liked that it was rather challenging and the homework wasn't trivial  I often don't have time to complete everything before the due date  but the grade doesn't matter to me  so I still think about the problems and work them out even after the deadline. I liked how much material there was -- you had the lectures and also tutorial sessions where they go over example problems  all of which were very useful. Overall  this course took a lot of effort  like most of my weekends and weeknights  and I gained a lot from it. I am grateful that the instructors took the time to make the materials and put the course online.,10,Completed,student,2 years  3 months ago
"No neurology background is required: the basics of not only the theory of neural systems but the practice of laboratory work in the field is presented clearly and engagingly by the lecturers  which was perfect for me as a newcomer to the subject.  However  this is primarily a data analysis course  so if you're after depth in neural science  you might look elsewhere.  I have a strong background in computer science  so it is difficult for me to gauge this  but I suspect that  despite the whirlwind tour of python in the first week  some familiarity with basic programming control structures would make the course more enjoyable  even if it was only at the level of say Code Academy. I enjoyed the material on python libraries numpy  matplotlib and pandas.  The assessed work includes four auto-graded programming assignments and associated multi-choice quizzes  and a final project. Each assignment focuses on specific analyses of specific data sets. The data sets are interesting  but there's no cohesive overview of common approaches and the areas they're best applied to.  This would be a four star review if not for the autograder. On a couple of assignments  my code worked flawlessly (and without overfitting) on all the practice datasets  but a couple of the grader tests failed without any response beyond ""fail"". With no further information to be wrung out of the system  and not willing to waste time with endless rounds of outguess-the- grader  for the first time in my MOOC career I had to just write a few marks off.  (By way of comparison  I'm simultaneously taking Pavel Pevzner's brilliant Bioinformatics Algorithms I . It too gives a binary success/fail response on ""code challenge"" submissions  but in this case it is always very clear what is being tested  and there's never yet been a time where my code produced the correct output on the practice data sets but failed to on the test one. I'm running at full marks.)  Each assignment also has a peer assessed portion  but these simply check that data plots match a detailed rubric  and there's a minimum of subjectivity involved. Only the other hand  the project is worth 40% of the final grade  is largely self-directed  and entirely peer assessed. If this is not your cup of tea or you don't feel taking your chances with which peer your work is assigned to  this may not be the best course for you.",6,Taking Now,Henrietta Livingstone,3 years  2 months ago
Might possibly be worth doing in another presentation  if they fixed the problems  but the first was disappointing. It was marred by very poor organisation and attention to detail. For example: in several different pieces of work  the automatic grading system marked correct answers wrong. In one case this was eventually corrected but the correction introduced a new error! The course team did not make effective use of the Announcements page or the official course forums so students were left in the dark about what was going on. I gave up doing the assignments. The lectures were OK  but not great  in my opinion. Overall problem seemed to be confusion about who the course is for. It's advertised as being for complete beginners  and the lectures do start very slow (but never actually explain what kurtosis is...)  but at the end the pace is hugely faster and material is included that seems too advanced for a short intro stats course and wasn't really grounded properly. In practice  a high proportion of students on the course (who were still there a few weeks in) seemed to have taken stats courses before  or even taught them.,4,Completed,Perdita Stevens,5 years  3 months ago
I needed to learn basic stats  and R. I love how this course is just that. I went away from this course being able to process the results of my study in R. I really liked the video tutorials because Conway went through the output and explained each step. This gave me intuition to be able to understand the output when I ran my stats. I wish there were more stats courses offered by this university and teacher.,10,Completed,Student,3 years ago
I really enjoyed this class. I think the professor does a great job of presenting the material. I took this class in its first iteration and the only negative thing I have to say is about the student community. At that time  the forums were overshadowed by people who seemed to have some kind of personal vendetta against professor Conway. It was really sad to see. There is a programming tool called 'R' that you will need to learn. It is very easy to learn. It is used by statisticians all over the world. I think too many people didn't have an understanding of the mathematics and other skills needed for a statistics class. (even an introductory one) Having said that  I think this was a great introduction to statistics. I like the real world examples he used. I would recommend this to everyone.,10,Completed,Robert Davis,3 years  8 months ago
"Overall I thought it was very good. I took statistics many years ago so this was a good way to refresh my knowledge on the subject. My only ""complaint"" is that some of the lab exercises felt a little disconnected from the lectures  where we had to take extra steps that were not mentioned in the videos in order to solve the problems. Anyway  I really did like it and would take further courses on the subject if they were offered by Prof. Conway.",8,Completed,Carolina Sh.,3 years  10 months ago
"This is my 10th or so course and my 4th statistics course on Coursera after ""Computing for Data Analysis""  ""Data Analysis""  ""Mathematical Biostatistics Boot Camp 1"" I got the maximum score for all assignments and 24 out of 25 at the midterm. However this is the worst class I took on Coursera and here's why: The material is dense but fails to properly cover the basics and merely glancing through them. The homeworks are very easy and don't require a proper understanding of the material. Out of 10 questions sometimes you can do them all mechanically without having to understand much. Also it's not uncommon to have 3 different  yet semantically identical questions such as 1\. what is the covariance between x and y 2\. what is the covariance between x and z 3\. what is the covariance between y and z However even though the homework takes about 10-30 minutes to complete (sometimes less than 10). It may take another 30 minutes to figure out what the format is for some of the answers. It can be so frustrating it feels like a bad joke. Sometimes you have to write integer values  sometimes 2 decimals rounded values  but it won't accept them unless you type them in a particular format (which is not explained). For example in the same assignment an answer needs to be formatted as ""0.19"" and anther answer needs to be "".19""  just because. Also these rules seem to be changing between assignments. The forums have more questions/comments about answer format than for the actual assignment. Here's an example ""I feel like every time there was a confidence interval question  there was a different format. I got 8 points from 2 attempts and then lost another 5 trying to guess the format until I came here. Was it so difficult to let us use any format we want and then check that our result is within a certain error range? Coursera does stuff much more complex than this at other courses. I am disappointed."" ""Quiz 7 Q4 & 5  Q6 & Q7 format"" had 68 questions/comments when I wrote this (https://class.coursera.org/stats1-002/forum/thread?thread_id=2180) and there were other parallel threads.",4,Taking Now,Cosmin Lehene,4 years  3 months ago
"I was very excited about the course when I first saw the syllabus. The reason was the coverage of the topics. It starts from very basics and attempts to teach advanced topics through the course. However  as the course proceeds  I realized that the attempt of covering large number of topics is actually a bad idea. Since the course attempts to cover too many topics in 3 months  the lectures were not in depth at all. It is a statistics course  with just a few slides with formulas. Some people may think that it is something good  but I think otherwise. Dr. Conway tries to explain ideas too ""intuitively"". The statistical methods were not explained in depth at all. The slides are not useful  especially for self-study. Unfortunately  the labs was not good either. I see the difficulty of teaching statistics and programming language for practice at the same time. Since the concepts were not covered enough in the lectures  most weeks  using R to practice concepts discussed in the lecture was like black magic. Just call the function that is asked  find the number in the output and that's it. Towards the end of the course  it became obvious to me. Finally  I realized that I don't learn anything anymore and decided to drop the course.",4,Dropped,Sefa Kilic,4 years  2 months ago
"Since i do have some familiarity with Statistics  the syllabus looked good. But the student has to learn the ""R"" programming system at the same time as he/she is absorbing the concepts and doing the calculations. Course would be better if a week or two were devoted to learning the R programming system  but the course is already rather lengthy as it is. Definitely NOT ""friendly"".",2,Dropped,Winthrop Yu,4 years  3 months ago
"I am really enjoying this class  and would recommend it to anyone looking to learn statistics. I am concurrently enrolled in Calculus  and I find comparisons of these two classes interesting. I find the professor very engaged and working very hard to provide excellent teaching. The material is well thought out and clearly presented. It looks to me like there are challenges for a statistics teacher that are different from those faced by a calculus teacher. The repetition of calculating calculus problems provides a sense of ""learning the material"" for me that I don't feel as strongly in this course. The weekly labs in R are great  I just think it is harder to master the material when you are ""evaluating output."" There are two minor issues I have with the class  and they are really just personal preference. First  the professor stays away from greek symbols opting instead for abbreviations such as SD for standard deviation. The second issue is that all of the data appears to be made up. With all the open data  it would be more engaging for me to work with real datasets. I love the class tho and recommend it highly - particularly for someone looking for a review of statistics or a second look at the material with an R perspective.",8,Taking Now,Jamie Lytle,4 years  2 months ago
Presentation and organization of the lectures was fine. Sometimes it lacked some precise definitions  but the key topics were well explained. Working in R was almost not explained at all  only examples of how to solve some very specific tasks. Anything else was left to the student to find out. That's OK for me as a programmer  it's what I do every day  but for other people it may be more annoying. What was really disappointing was the interactive parts of the course. Quizzes where you wouldn't see if you answered correctly or what was wrong with your answer. Sometimes even the marking was plain wrong. How does that help learning? (I believe that should be the main benefit of quizzes  not the grades) None of the staff were active in the discussion forum  only later I found that there was some facebook group (created by students) where staff replied from time to time. What's the point of having a discussion forum  then? In the end  I've dropped the course after some six weeks because I simply had better things to do.,4,Completed,Michal,5 years  1 month ago
Great course! Although it may not be actually for someone without any background in statistics or programming  it was very enjoyable for me with a very basic background in statistics (i had taken a couple of courses in my BS) and some programming during highschool using visual basic and delphi  neither of them are like R o Pyhton but taught me the rigorousness of syntax and semantics in programming. Strictly talking from the course at the end it was too much info but still was manageable. Maybe it was a bit tedious to know all the background from the examples used for statistical analysis (like the history of a basketball player or salaries in certain departments of the university) but in the end of the analysis that background made more clear and important the numbers that such analysis gave pointing out to much real conclusions and making better examples. In my belief the course would be better if it had more time (either from the course as from the students) to explain the topics with more fundamental principles and more examples (being this the reason why I don't rate it with 5 stars). Finally I strongly recommend this course to anyone who wants to learn statistics and has at least barely knowledge of the theme and patience to learn R.,9,Completed,Carlos Flores,5 years ago
I had to drop out  partly because I joined the course in the middle and already missed deadline. I was also taking 3 other courses  so had to drop this one out. Having said that  the instructor is passionate about the subject  and I was able to digest the content until the half way through. I would take it again when I find more time (though new courses are keep popping out  so probably never have enough time ....,8,Completed,makoto_inoue,5 years ago
"I actually don't agree that this class was ""designed to be a friendly introduction to fundamental concepts in statistics"". The lecture on descriptive statistics even states that it should be review. That doesn't mean it was a bad course. I should probably mention that it covered mostly inferential statistics and barely mentioned probability at all. Learning R was very cool. I put a lot of time into it and got a lot out of it although the mixed factorial anovas at the end almost killed me. Good class. Highly recommended!",9,Completed,Jonahlyn,5 years  3 months ago
I learned a lot  some of the things were clarified  but many still confusing. And it was a little slower. Also that R... I did all my assignments in Excel. But still  it's a nice one.,7,Completed,Betty87,5 years  3 months ago
Excellent content and outstanding teacher. However  what misses (in my view) to be perfect is the style - a bit too oriented towards the classic teaching (relatively long chunks of lessons  a bit too much emphasis on the formal testing on the concepts instead of the practical aspects of the craft  etc.).,9,Completed,Robert Komartin,5 years  3 months ago
It was an wonderful experience with Statistics one. This course helped to learn some basics of R  interpretation using R. I will be eagerly waiting for Statistics Two.,10,Completed,Shishir Shakya,5 years  3 months ago
Very good course to learn important statistical concepts. You'll learn how to interpret results in R. Good teacher.,10,Completed,Bani,5 years  3 months ago
I studied Stats way back when and never fully grasped it. This well thought out and brilliantly executed course changed all that. First rate!,10,Completed,Gavin Conran,5 years  3 months ago
The first part of the course was great. At the end the pace was too fast. Has potential to be a great course in statistics.,6,Completed,Marek Stój,5 years  3 months ago
Deliver content very clear and effective.  The exercise is a little too hard.  I spent more time than I hope.,10,Taking Now,YAXUAN YANG,2 years  4 months ago
"There are many complaints around the course being difficult and teaching things that are not relevant for Data Science. This is so NOT the case.  The course has a roubust set of explanations around introductory probability and set theory. Set theory being the foundation of frequentist probability.  So far Im enjoying the course  I would have liked more ""practical"" applications through python  but I guess that would´ve made the course just too long.  It is true that the lectures are behind the original schedule but so far they have pushed the deadlines accodingly.  Professor Alon does a good job in explaning the theory and providing examples that go along with it.",10,Taking Now,MeY,5 days  14 hours ago
The course started on September 28. and was scheduled for ten weeks. Currently we still wait for the material of week 10 to be released and a the final exam to be provided. Complaints are met by promisses which are not kept. This is the most unreliable course i've ever experienced and breaks the entire Data Science curriculum of UCSandDiegoX. Not worth the money,2,Dropped,M AD,6 days  3 hours ago
"This course is a solid complement to MIT's edx series ""Introduction to Probability"". The course is much shorter and easier than the MIT series  and more practically oriented since it includes programming assignments. It's also easier than coursera's Mathematical Biostatistics Boot Camps. Sadly  there are no advanced statistics online courses available yet (neither MIT nor coursera are advanced).   The course includes a decent quality jupyter notebooks that allow students to interactively play with the concepts presented in the lectures  but the Python programming assignments and quizzes are trivial. For example the Week 6 programming assignments consists of just a single line computing the Bayes rule.  The main problem of this course is the complete lack of @staff interaction on the forums. There are no @staff reactions to the mistakes found in the course materials. Moreover the materials are released with delays. A minor problem is in some videos being unedited and containing repeated sequences. Another minor problem is in the programming assignments in Python 2 instead of Python 3  entirely due to the obsolete usage of the print statement instead of the print function  the latter introduced in Python 2.6 in 2008.   Some students report the course being difficult. It may be difficult for someone coming from low profile high school  but the course is trivial for any natural science college sophomore. The passing grade is set to 50% which allows one to obtain a passing grade after about 2/3 of the course and even without attempting the final exam.  Other complaints are that the course does not prepare for the data science subject since it focuses on probability and statistics. Such complaints are made by drop out students who do not understand the data science field. The probability/statistics material presented in this course won't suffice for any serious data science work.",6,Completed,N A,3 weeks  5 days ago
Could you please take a look at this course and please consider letting us take it again? This time we will have some notice and idea of how to prepare for this unusually difficult course and I will free up my schedule for ten weeks so I can dedicate extra time for this one course. I had no problem in the first course at all and it took 6-8 hours a week. This course was taking 3 hours a day and sometimes even longer. I am good at python and had no problem using statists in python for machine learning  this course was a show stopper for me and I dropped the course because I had no idea it would be this dense and there was no way I could finish by the deadline. I am having no problem in Udacity's statistics courses for reference. I also had no problem with Docker or the first part of the course with the coin examples  that's fine. After that it gets super dense  just way too much crammed in each week. This could easily be two courses. Could you please reply so I know if I should wait to re-attempt the MicroMaster program. Thank you.,2,Dropped,student,4 weeks ago
Great course  preparing you to learn the statistics which will make you stand out of the crowd as data scientist!,10,Taking Now,Wesley Wood,1 month  1 week ago
I agree with the other two reviews of this course is a complete waste of money if your looking to learn data science and python.  I feel this course in the content given so far is not a data science course at all but a math course and nothing else.  If this course was part of some math certificate as a person with a math degree I would have given a 5.  Like the other students I agree this course is very hard and time consuming but would be fine if it said it was a match course.  As say its part of a data science course yet we have never used a data set or learned any of the data science tools and libraries that python has do do this type of analysis you learn nothing that can be used in the real world at this this point.  Plus as be mention the staff never responds to students issues plus for some reason every week they have technically difficulty in uploading the material so a student can never plain ahead on how to study this material as we never know when we will get the videos plus it for some reason takes them another week to two to post the slides for these videos.  Not all people can learn by watching videos we also need the written notes as some people learn better by reading the material.  I also have no idea what the first course got us to install anaconda and use python 3 then this course the second makes us download and use python 2 how about build on what the first course did and don't make students download something else.  As been mention this course is waste of money but fine to audit and re learn math if your interested in just learning math. The biggest reason not to pay for this is the complete lack of support by the staff and there inability of fix there own technical issues in a timely manner or attempt to fix the issues that students have brought up because I've contacted edx many times about this course and they have let me know many students have voices issues about this course and not once has this been really addressed.,1,Taking Now,Student 1,1 month  1 week ago
To be honest  I think professor Alon Orlitsky one of the best professors in statistics field and he is very clear so he deserves 5 stars and this is my opinion. But the content of this course not related to Data Science until now (week 7) and the content of this course very heavy  I can't watch box office movies which have more than 2 hours so how I can watch approximately 4 hours of math videos every week with many quizzes  problems sets and programming assignments. The professor know there are many students in this course have math allergic and they are here just to learn statistics beyond machine learning and very important statistics tools in Data Science like Numpy  Scipy  Itertools  Pandas  Sklearn and very important algorithms like Naive Bayes  Regression  Classification  Clustering  Support Vector Machines  Decision Trees  Ensemble Learning and Random Forests and how to build all these using math and using only Numpy. I don't know why the professor Alon Orlitsky doesn't focus on very important topics in statistics for Data Science and I don't know why he just focuses on math equations which are not related or not important in Data Science or not used in real-world. And I don't know why the course staff makes the problem sets and programming assignments very long and very difficult. I write this review because I and many students wrote many compliments on the discussion forums but nothing changes so far.,1,Taking Now,Student MM-DS,1 month  4 weeks ago
I'm sorry to say that  This course is quite unlike the previous one (Python for Data Science). It is very difficult and not useful because of nothing here about data science or machine learning. Everything here about coin  dice and card game it is like K12 math but harder. I expected I will learn the mathematical foundations for machine learning and I will learn statistical tools in python and I will learn to visualize data but the problem no data in this course no datasets just a lot of math equations. Also  the notebooks are terrible and very old (python 2) and not related to the course it is about difficult programming assignments without anything useful just solve this problem about dice and solve this problem about coins or card game and nothing real or related to real world. Also  there are 10 problem sets every week and every problem have 4 questions and all questions fill in the blank. Also  there are 10 questions in Comprehension Quiz every week. Also  there are more than 10 very long videos every video between (20 - 40 min). Also  the course staff don't answer most questions for students but sometimes answer a few questions after many weeks. At the end  this course requires between (25 - 40 hours) per week and you will get a very bad grade. It is a complete waste of time and money. So if you have more than 300 hours to learn the math behind coin  dice  balls and card game this course will be very good for you. But if you want to learn Statistics and Probability in Data Science using Python just stay away.,1,Taking Now,Rhitik Bhatt,1 month  4 weeks ago
If you're new to the subject of astronomy  this MOOC could be a good place to start. You just have 5 videos per week  each ranging from 5-15 minutes (except for the first week  you have 4) and a weekly quiz. Get 65% of the points and you'll earn an SoA. Andy and Catherine are two great instructors- they make everything look so simple (although  astronomy is not at all easy to grasp in my view). I definitely recommend this course to novices  who are eager to learn more about the technology used in space studies.,10,Completed,Nalin Venkat Sameera,3 years  7 months ago
The course is an excellent introductory course to the hardware tools used in Astronomy. The overall technologies used in the field of Astronomy are discussed   from telescopes to CCD   spectroscope and so on. This course is brief and a further detailed content would be more welcomed.,10,Completed,Shankar C,2 years  6 months ago
This is the best course to start your hobby or future research in astronomy/astrophysics. The instructors are amazing  and I'm sad I hadn't started with this course a long time ago  instead of self-study. However  even if you're not new to cosmology and astrophysics  it's worthwhile  since the discussion forums go from basic topics to really advanced ones  so it's a great place to drop by and enjoy some awesome discussions with smart people. And a huge plus for instructors participating in these discussions as well!,10,Completed,Kristina Šekrst,2 years  7 months ago
Well  it was good but short.  Simple & Focused but I've expected more info.    Bottom line - very nice and easy to understand course  well presented - I recommend!,8,Completed,ShloEmi Ohayon,2 years  8 months ago
The course was a great introduction to the technical side of Astronomy and Astrophysics  offering some  insight into those physical objects used to gather data on far-away objects. It discusses some of the history of lens and camera technology  some important equations and terminology used in the field. The course follows a logical format  laying the foundation of tools in order to discuss the science behind the use of those tools. The forums were rather active  with the two lecturers and their teaching staff being involved in many of the discussions. The course as a whole was quite engaging  and I dropped some marks due to having some existing understanding of the subject-matter due to previous self-study of the subject.,8,Completed,Dianne Owens,3 years  5 months ago
A short course in the Technology of Astronomy  interesting  informative  Andy and Catherine deserve a 'crystal' award for clarity. They left a lot out and left many subjects requiring further investigation by the student  as an Introduction to Astronomy it was excellent although a little fragmented  recommended for a 1st MOOC in AstroPhysics  possibly out of 10 MOOCs this must be in the first three.,10,Completed,Student,3 years  8 months ago
I enjoyed this course. It was a beginners overview - which is what I needed. The lectures were interesting and easy to follow.,8,Completed,Angela Peterson,3 years  8 months ago
...sorry I need to correct myself: they do cover telescopes in 1 lecture. However  still quite a confusing mix of topics and not going into much details.,5,Taking Now,Student,3 years  8 months ago
"Well I liked the idea to learn about the Technology behind astronomy. However what I expected was something quite different. I thought they would show all the different kinds of telescopes for example. What I see is quite a confusing mix of bits and pieces of certain aspects that kind of seem to be picked randomly. Definitely a great general course for beginners in astronomy such as myself was for example ""Highlights of modern astronomy"" by Rochester University also on Coursera which gives a full overview of astronomy (without any focus on technology).",4,Taking Now,Student,3 years  8 months ago
"I'm dropping this course after 5 weeks. There are good bits about this course  but you can probably read about those in other reviews. I'll focus on the bad bits. First of all  it does not make sense to follow this kind of quality course after the high quality courses ""Data Analysis and Statistical Inference"" on coursera and MIT's ""Introduction to Probability"" on Edx which cover similar topics  but in much greater depth and with much more rigour. I'm sure Boris Mirkin is very knowledgeable  but i.m.h.o. he lacks the educational skills. Sometimes the language he uses gets in the way. At other times he explains bits left and right without a clear route of understanding things with increasing complexity. There are times he does not explain why certain concepts exist or how they are used. The slides often contain too much text  numbers and formula's to be clear and informative. I found I had a better understanding when I skipped his lectures and went straight to wikipedia or some other resource. Because of that  it irritated me that he used terms and definitions in a unique ways  so that I couldn't use wikipedia or online searches to study. If I look up Quetelet Index  all I get are references to BMI (Body Mass Index)  but Boris uses that term for a general statistic. Another example is the use of ""odds-ratio"" that differs from its official definition. The programming assignments are quite easy. You can use any language or tool you like. You download a dataset and upload the answer within 5 minutes. When the answer is incorrect  you can download a new dataset and repeat until correct. The environment works. It's a bit specific about white space and punctuation. I do like the idea  but I would prefer to download from within the program using some API as some other programming courses offer. The quizzes are so so. You are asked to show you've understood the definitions and to calculate certain statistics. When doing the peer assessments  make sure to read the grading criteria  because the question does not always comply with them. I did the first run so there is room for improvement. Still I believe there are better ways to learn about the topics that are covered by this course.",6,Completed,Bart olomeus,3 years  9 months ago
This mini-course in addition to the ones about SQL and Relational Algebra are a good begining for understanding relational databases. The content is short  easy and well explained. I wish in a close future they could broad the topic and offer courses with more length and detail.,8,Completed,Ramiro Aznar,2 years  5 months ago
I would have liked if all the 14 mini-courses were compiled into a single 'Introduction to Databases' course. We could have a final exam that test our understanding on entire material. Plus a single Statement of Accomplishment.,10,Taking Now,Jatin Sanghvi,2 years  4 months ago
